title_year,budget,gross
1996,5030000,2730617
1997,1300000,4015902
1998,11735883,11528972
1999,3893500,4070732
2000,1000000,610991
2001,7300000,13893866
2002,5092503,7107731
2003,2331000,7799954
2004,7000000,2921738
2005,730000,278677
2006,8300000,5472774
2007,4780000,1447432
2008,8394000,55202
2009,1500000,199228
2010,6120000,6786265
2011,9912000,563699
2012,7220000,3400223
2013,1550000,8154202
2014,6736000,3527800
2015,7680000,6498000
2016,4400000,2700400
