title_year,country,Code,count_col,budget,gross
1994,United Kingdom,GBR,2,34500000,55570201
1994,United States of America,USA,45,1361230000,2923606370
1995,Australia,AUS,1,30000000,66600000
1995,France,FRA,4,109000000,54960408
1995,Hong Kong,HKG,1,7500000,32333860
1995,Japan,JPN,1,32000000,18636537
1995,United Kingdom,GBR,3,75000000,148260996
1995,United States of America,USA,60,1942475000,2777965078
1996,Australia,AUS,3,50750000,53324683
1996,Canada,CAN,1,9000000,0
1996,France,FRA,2,19300000,2944999
1996,Netherlands,NLD,1,2650000,0
1996,United Kingdom,GBR,6,93500000,52730617
1996,United States of America,USA,86,2923590000,3885196255
1997,Australia,AUS,1,12000000,141853
1997,Canada,CAN,3,5390000,7652539
1997,Denmark,DNK,1,35000000,2221994
1997,France,FRA,3,153000000,64015902
1997,Hong Kong,HKG,1,0,12674183
1997,Iran,IRN,1,180000,925402
1997,Japan,JPN,2,2401000000,2392787
1997,Netherlands,NLD,1,4500000,713413
1997,United Kingdom,GBR,11,274000000,332486499
1997,United States of America,USA,94,3532775000,4772853030
1998,Aruba,ABW,1,35000000,10076136
1998,Australia,AUS,3,122000000,50066910
1998,Brazil,BRA,1,2900000,5595428
1998,Canada,CAN,5,65000000,69681844
1998,Denmark,DNK,1,1300000,1647780
1998,France,FRA,2,205000000,39112129
1998,Germany,DEU,4,116500000,132287204
1998,India,IND,1,0,528972
1998,Mexico,MEX,1,3500000,886410
1998,Spain,ESP,2,700000000,2523952
1998,United Kingdom,GBR,13,187460000,148743719
1998,United States of America,USA,100,3537920000,4489483543
1999,Australia,AUS,1,20000000,10544143
1999,Canada,CAN,5,81000000,29007416
1999,Czech Republic,CZE,1,12000000,2060953
1999,France,FRA,6,428800000,34972075
1999,Germany,DEU,6,220000000,207682009
1999,Italy,ITA,1,12000000,14348123
1999,Japan,JPN,1,1000000000,10037390
1999,Spain,ESP,2,49400000,18883057
1999,United Kingdom,GBR,13,389350000,407073247
1999,United States of America,USA,132,4180512000,5585372849
2000,Argentina,ARG,1,1500000,1221261
2000,Australia,AUS,1,1500000,265107
2000,Denmark,DNK,1,12800000,4157491
2000,France,FRA,4,237000000,91435628
2000,Germany,DEU,6,190400000,221596198
2000,India,IND,2,1000000,610991
2000,Iran,IRN,1,10000,673780
2000,Japan,JPN,1,16000000,0
2000,Mexico,MEX,1,2000000,5383834
2000,Taiwan,#N/A,1,15000000,128067808
2000,United Kingdom,GBR,16,245000000,375173796
2000,United States of America,USA,136,5041967000,6214242912
2001,Australia,AUS,1,21200000,25590119
2001,Canada,CAN,2,70000000,70860053
2001,France,FRA,8,424300000,109334587
2001,Germany,DEU,7,237000000,176310508
2001,Hong Kong,HKG,1,10000000,488872
2001,India,IND,2,7300000,13893866
2001,Japan,JPN,1,19000000,10049886
2001,Mexico,MEX,1,2000000,13622333
2001,New Line,#N/A,1,90000000,6712451
2001,New Zealand,NZL,1,93000000,313837577
2001,Norway,NOR,1,15500000,313436
2001,Thailand,THA,1,400000000,454255
2001,United Kingdom,GBR,12,319800000,470356808
2001,United States of America,USA,149,5150040000,6920250031
2002,Australia,AUS,2,19000000,34564621
2002,Brazil,BRA,1,3300000,7563397
2002,Canada,CAN,6,63100000,93440716
2002,China,CHN,2,62000000,169922
2002,France,FRA,9,233100000,77999542
2002,Germany,DEU,5,130000000,167471969
2002,Italy,ITA,1,30000000,0
2002,Mexico,MEX,1,1800000,5709616
2002,New Zealand,NZL,1,6000000,20772796
2002,Spain,ESP,1,4000000,146402
2002,Sweden,SWE,1,0,181655
2002,United Kingdom,GBR,22,727500000,749743109
2002,United States of America,USA,157,5305099000,7544466552
2003,Afghanistan,AFG,1,46000,1127331
2003,Australia,AUS,3,163800000,144482509
2003,Canada,CAN,9,196200000,237315009
2003,France,FRA,5,31700000,23288724
2003,Germany,DEU,3,134800000,51550799
2003,Hong Kong,HKG,1,41000000,22108977
2003,Ireland,IRL,1,17000000,1569918
2003,Italy,ITA,1,5000000,223878
2003,Russia,RUS,1,0,502028
2003,South Korea,#N/A,2,11000000,2181290
2003,Spain,ESP,1,2000000,395592
2003,United Kingdom,GBR,6,109500000,155234196
2003,United States of America,USA,135,5092503218,7107731478
2004,Argentina,ARG,2,2200000,304124
2004,Canada,CAN,5,42400000,8534175
2004,China,CHN,1,100000000,11041228
